Location, Beer Name, Style,ABV, Link 
SMYRNA, You’re Better Off Somewhere Else, Saison,3.90%, https://reformationbrewery.com/beers/youre-better-off-somewhere-else/ 
CANTON, Coffee Saison, Farmhouse Ale - Saison,4%, https://reformationbrewery.com/beers/coffee-saison/ 
WOODSTOCK, Coffee Saison, Farmhouse Ale - Saison,4.0%, https://reformationbrewery.com/beers/coffee-saison/ 
SMYRNA, Makin’ It Snow, Cider - Sweet,4%, https://reformationbrewery.com/beers/makin-it-snow/ 
CANTON, A Cold One, Lager - Pale,4.40%, https://reformationbrewery.com/beers/a-cold-one/ 
WOODSTOCK, A Cold One, Lager - Pale,4.4%, https://reformationbrewery.com/beers/a-cold-one/ 
SMYRNA, A Cold One, Lager - Pale,4.40%, https://reformationbrewery.com/beers/a-cold-one/ 
CANTON, Alani Rosé Ale, Sour - Fruited,4.70%, https://reformationbrewery.com/beers/sour-alani/ 
CANTON, No Simple Highway, Pilsner - Other,4.70%, https://reformationbrewery.com/beers/no-simple-highway-2/ 
CANTON, ramble with white tea, Sour with White Tea,4.70%, https://reformationbrewery.com/beers/ramble-with-white-tea/ 
WOODSTOCK, Alani Rosé Ale, Sour - Fruited,4.7%, https://reformationbrewery.com/beers/sour-alani/ 
WOODSTOCK, ramble with white tea, Sour with White Tea,4.7%, https://reformationbrewery.com/beers/ramble-with-white-tea/ 
WOODSTOCK, No Simple Highway, Pilsner - Other,4.7%, https://reformationbrewery.com/beers/no-simple-highway-2/ 
SMYRNA, Mittens Does Cosplay, Blackberry & Blueberry Lemonade Sour,4.70%, https://reformationbrewery.com/beers/mittens-does-cosplay-2/ 
SMYRNA, Alani Rosé Ale, Sour - Fruited,4.70%, https://reformationbrewery.com/beers/sour-alani/ 
CANTON, Haddy, Wheat Beer - Witbier,4.80%, https://reformationbrewery.com/beers/haddy/ 
CANTON, Etowah Pale Ale, Pale Ale - American,4.80%, https://reformationbrewery.com/beers/etowah-pale-ale/ 
WOODSTOCK, Woodstock Pale Ale, Pale Ale - American,4.8%, https://reformationbrewery.com/beers/woodstock-pale-ale/ 
WOODSTOCK, Haddy, Wheat Beer - Witbier,4.8%, https://reformationbrewery.com/beers/haddy/ 
SMYRNA, Haddy, Wheat Beer - Witbier,4.80%, https://reformationbrewery.com/beers/haddy/ 
CANTON, JOGR, Juicy Lager,4.90%, https://reformationbrewery.com/beers/jogr/ 
WOODSTOCK, JOGR, Juicy Lager,4.9%, https://reformationbrewery.com/beers/jogr/ 
SMYRNA, JOGR, Juicy Lager,4.90%, https://reformationbrewery.com/beers/jogr/ 
CANTON, Oren, Pale Ale - American,5%, https://reformationbrewery.com/beers/oren-pale-ale/ 
CANTON, Raspberry Lime Seltzer, Hard Seltzer,5%, https://reformationbrewery.com/beers/raspberry-lime-seltzer/ 
WOODSTOCK, Oren, Pale Ale - American,5.0%, https://reformationbrewery.com/beers/oren-pale-ale/ 
WOODSTOCK, Raspberry Lime Seltzer, Hard Seltzer,5.0%, https://reformationbrewery.com/beers/raspberry-lime-seltzer/ 
SMYRNA, Oren, Pale Ale - American,5%, https://reformationbrewery.com/beers/oren-pale-ale/ 
SMYRNA, Raspberry Lime Seltzer, Hard Seltzer,5%, https://reformationbrewery.com/beers/raspberry-lime-seltzer/ 
CANTON, Stark, Toasted Porter,5.50%, https://reformationbrewery.com/beers/stark/ 
WOODSTOCK, Stark, Toasted Porter,5.5%, https://reformationbrewery.com/beers/stark/ 
SMYRNA, Stark, Toasted Porter,5.50%, https://reformationbrewery.com/beers/stark/ 
SMYRNA, SORBA Woodstock | DWWO V.11, Citra Hopped New England IPA,6%, https://reformationbrewery.com/beers/sorba-woodstock-dwwo-v-11/ 
CANTON, Orangezilla, IPA - Milkshake,6.10%, https://reformationbrewery.com/beers/orangezilla/ 
